id	speaker	sex	text	label
gb23418	e2a346db50be92ef9bf25a03bda3b1f2	M	"It is a pleasure to be called to speak in this debate to support the measures in the Queen’s Speech, focusing on the core Conservative value of opportunity. Education is key to giving people the best chance to make the most of their talents, and to Britain being the best place to grow up. One of my priorities since being elected has been visiting schools across my constituency to hear directly from teachers, teaching assistants and pupils about the challenges involved in improving literacy and numeracy standards, which are fundamental to young people going on to succeed

I welcome the Schools Bill, which sets the ambition for 90% of children to achieve expected standards in reading, writing and maths, up from 65% in the most recent year that standard assessment tests took place. It is all very well setting targets, but there needs to be a plan to achieve them. Much will rest on the new parent pledge, which means that any child that falls behind in English or maths should receive additional tailored support. The best schools already do this, and sharing evidence on what works means that more children can now get the support they need and their parents will be more closely involved in their child’s progress

One of the issues most frequently raised during visits to schools is access to speech and language therapy, which others have referred to. Spoken language underpins literacy development. It is key to learning across the curriculum, including in maths. The Royal College of Speech and Language Therapists highlights evidence from the Education Endowment Foundation that teaching with emphasis on spoken language enables an average of six months’ additional academic progress over the course of the year. I welcome the reassurance that my right hon. Friend the Secretary of State for Education gave me when the SEND paper was published that the parent pledge should ensure that children who need help with language and communication are supported. One of the calls that the royal college and other language organisations make, which I support, is to ensure that the new national professional qualifications in literacy, special educational needs and early years include a focus on developing and supporting spoken language skills

As we learn to live with covid, a specific ask from a recent visit to Churchill Park Academy in King’s Lynn, which serves young people with special needs, is for tests to be made available for such schools. They have particularly vulnerable pupils who are not currently attending school due to concerns about covid prevalence. I would be grateful if Education and Health Ministers could carefully consider that request

The focus of this debate, on making Britain the best place to grow up and grow old, also includes access to healthcare. It will come as no surprise to Ministers that I return to an issue I raised in my maiden speech in the first Queen’s Speech debate of this Parliament, and indeed in last year’s Queen’s Speech and on many other occasions—the need for a new Queen Elizabeth Hospital in King’s Lynn. QEH is now more than a decade beyond its planned 30-year lifespan, and due to its reinforced autoclaved aerated concrete planks, it now has 1,500 timber and steel supports holding up the cracking roof—it is the most-propped hospital in the country—and that number is likely to increase as further failsafe work is completed. Due to this concrete cancer, the trust’s risk register has a red rating for direct risk to life and to the safety of patients, visitors and staff due to the potentially catastrophic risk of failure of the roof structure

Last month, some of my constituents once again came to Westminster talk about the need for QEH to be one of the additional eight new hospital schemes the Government have committed to building. A major issue they asked me to highlight is just how bad an experience being in a ward surrounded by props holding up the roof is for patients. Staff at the hospital stressed how it makes it harder for them to do their job to provide the care the patients need. I warmly welcome the funding from the Department of Health for a new endoscopy unit, and the new west Norfolk eye centre that opened last week at QEH, but now is the time to make a decision to build a new hospital for the 300,000 people across Norfolk, Lincolnshire, and Cambridgeshire that QEH serves. This is not about having shiny new buildings for their own sake; it is about better health outcomes in some of the most deprived areas in the country that the Government have recognised as a priority for levelling up. By committing to this vitally needed hospital, the inevitable requirement for a replacement will become part of a funded programme rather than an unplanned demand on the Treasury requiring emergency funding. That is better value for taxpayers and will deliver the improvements that people in North West Norfolk and beyond deserve. I hope that my right hon. Friend the Health Secretary has good news for my constituents soon, as they are rightly frustrated at the delay in this decision."	1
gb19596	680077346b8e0492c47f59df5783a8ef	F	"What steps her Department is taking to support prison leavers into employment.


Northern College in my constituency is a resident education college that gives disadvantaged adults a second chance at adult education. Many students are former prisoners, but thanks to the college’s outstanding tuition and pastoral support, they go on to achieve educational success and secure well-paid employment. Sadly, the funding for such colleges is under threat, so will my right hon. Friend work with colleagues in the Department for Education to secure the future of Northern College and ensure that former prisoners continue to have access to this amazing opportunity to turn their lives around?"	1
gb05942	14b870b213f3cd23919fd2801d2d9116	M	May I too welcome the right hon. Gentleman to his new post? I well recall the many happy although fruitless hours we spent together on the original European Union (Referendum) Bill. Whatever happened to that? May I support the hon. Members who have raised the issue of Southern Trains and the appalling service that Govia Thameslink Railway is providing? The Mayor of London has written to the Secretary of State for Transport to say that he is prepared to take on the Southern franchise. In arranging a debate in Government time on that matter, will the Leader of the House prevail on the Secretary of State to accept the Mayor’s offer or at least to look into it in great detail?	0
gb01383	565e7e8de8b8ce07b2e0cd53d22d3fa1	M	"This is a necessary and timely debate, and I should like to congratulate the right hon. Member for Derby South (Margaret Beckett) on securing it. Like many others on both sides of the House, I had until recently been moderately optimistic that we were winning the battle against nuclear proliferation. We had seen South Africa, and Libya under Gaddafi, coming out of the nuclear weapons business. We had also seen a substantial swathe of the former Soviet Union countries—now supposedly, and hopefully, independent sovereign states—no longer having nuclear weapons stationed on their soil

More recently, however, I have become concerned that the battle that we were winning appears to be in danger of going into reverse. On the Korean peninsula, the North Korean regime under Kim Jong-un seems determined to try to acquire a nuclear weapons capability. If that happens, I fear that it will call into question the nuclear weapons possession policy of, say, the Japanese Government. In south Asia, we have the wholly unresolved question of the nuclear weapons situation between India and Pakistan. In the middle east, whatever the outcome of the current negotiations on Iran, I believe that the Iranians will try to maintain a break-out capability. I understand from recent conversations with Ministers in Saudi Arabia that if Iran does break out and obtain a nuclear weapon, we cannot rule out the subsequent possession of a nuclear weapon by Saudi Arabia

This debate is therefore necessary and important. We should not forget, when it comes to weapons of mass destruction, that we still have a chemical weapons convention that is not being adhered to or acceded to by key countries, including Egypt, Israel and North Korea. We also have a convention on biological and toxin weapons that remains without a verification regime, which leaves that convention resting on paper and on trust. I was grateful to the Minister for sending me, in my capacity as Chair of the Committees on Arms Export Controls, a copy of the Government’s national report to the 2015 nuclear non-proliferation treaty review conference. I have to say that I found the report strong on the pluses, but rather limited on the more negative aspects of nuclear proliferation—some key issues and problems were skated over and others were not referred to at all

I should like to pick out some key issues from the Government’s report. As the right hon. Lady has said, the comprehensive test ban treaty is of key importance; as we all know, it is not possible to have a truly effective nuclear weapon unless it has been subject to testing. I agree entirely with what the Government say in their report: “The UK recognises the CTBT as a key element of the global disarmament and non-proliferation architecture”

That is absolutely correct, and it is a matter of immense frustration to all of us that we still have eight remaining countries whose ratification of the CTBT is necessary in order to bring the treaty into force: China, Egypt, India, Iran, Israel, North Korea, Pakistan and the USA. I hope the Government will take the opportunity of the review conference to try to mobilise the maximum possible international pressure on those countries to secure their accession to the all-important CTBT

The Government devote two paragraphs in their report to the planned—I stress that it is still no more than planned—fissile material cut-off treaty. I find those paragraphs most disappointing. The Government do not even skate over the real problem; they omit any mention of it, which is deeply regrettable. We all know why negotiations on the FMCT have not even commenced —why they have been stalled for years in the Conference on Disarmament in Geneva. It is simply because neither India nor Pakistan can reach agreement on what should be the treatment of their existing fissile material stocks. Those two countries and their disagreement have put into baulk the start of any negotiation on the FMCT. That is coupled with the fact that the Conference on Disarmament works on the basis of “consensus”, which everybody chooses to interpret as unanimity only. I simply do not understand why the Government fail to indentify that in their report as the key stumbling block

The Minister will doubtless say in his reply, “There’s no need to worry, because the FMCT Group of Governmental Experts is going to resolve the deadlock.” I believe that is considerably optimistic and it may prove to be purely wishful thinking. In the Committees on Arms Export Controls, we have recommended to the Government that they should set a deadline for negotiations to start. In the absence of a deadline, there seems to be a compelling case for starting the negotiations in another forum, perhaps in a specially constituted commission, possibly within the United Nations. It is imperative that the negotiation of this treaty begins and is not subject to permanent delay as a result of the obstruction created by just two nations

Given the key importance of missile technology control in preventing nuclear proliferation, I was disappointed that the Government make no mention of the Missile Technology Control Regime in their report. There are key holders of nuclear weapons that remain outside the MTCR, including China, India, Israel and Pakistan. Will the Minister tell the House whether or not the Government are actively seeking those countries’ membership of the MTCR? That information would be of great use to the House

Another key nuclear non-proliferation organisation, which I am glad to say is referred to in the Government’s report, is the Nuclear Suppliers Group, of which, again, some key nuclear weapons holders are not yet members. I am referring to India, Israel and Pakistan. Will the Minister tell the House whether it is the Government’s policy to try to seek the membership of those countries to the Nuclear Suppliers Group? On the hoped-for middle east weapons of mass destruction free zone, the Government’s report makes all the right noises. It says: “We look forward to convening an inclusive conference on the establishment of a Middle East zone free of nuclear weapons and all other weapons of mass destruction…as soon as the practical arrangements for that conference are agreed by the states of the region.” The key issue here, and the catch in the Government’s wording, is that the conference will not take place until the practical arrangements for it are agreed by the states of the region. The point here of course is that Israel and Iran will not and have not managed to reach agreement over the terms of their participation in such a conference. On that I certainly agree with the Government that without the participation of Iran and of Israel, there would be little purpose in having such a conference

Finally, I am pleased that the little known but increasingly important additional non-proliferation scheme, the UK’s academic technology approval scheme, at least gets one paragraph in the Government’s report. The scheme, rightly brought in by the previous Government and continued by the present Government, enables us to debar students from UK universities if they are considered to pose the greatest risk by access to subjects that could lead to the proliferation of knowledge about weapons of mass destruction

When the scheme was introduced by the previous Government, it was limited solely to debarring students from abroad coming to study at UK universities. Even when it was brought in, that decision was possibly somewhat questionable. But today, I suggest that the limitation of the scheme solely to those from abroad is really wholly non-sustainable in security terms. We have a threat level in the UK that is almost unprecedented. We know that we have hundreds of young people, who, most regrettably, have chosen to go to fight for Islamic State terrorists in Syria and Iraq, and it has been widely reported that substantial numbers of those have now returned to the UK

The Committees on Arms Export Controls have, in successive reports, advocated that the Government extend the academic technology approval scheme to cover those who are in the UK, and not just merely students from abroad. Inexplicably, the Government have so far refused to accept the Committees’ recommendation, and I urge the Government in strong terms to do so given the current threat that we now face

In conclusion, I wish the Government well in trying to achieve a substantive and effective outcome of the nuclear non-proliferation treaty review conference. They most certainly need to do so, as we are living in an increasingly dangerous world."	1
gb01955	58de6f3789a4d43bc2e9c02ce69e9398	M	"My Lords, the Government have a big job on their hands when it comes to business. We have had an excellent debate today and many issues have already been raised. I should like to raise a few more points on some of those issues. How the business community operates is crucial for jobs but also for trade, and thereby for the profitability or otherwise of this country. We need to include in our aims—the Government do, anyway—to ensure that we increase the interest and ability of firms in this country to export. As I say, we need to be a profitable country for many reasons. There are many other strands to address

To add to the list, we have had problems in the past on inward investment, as the Government will know. This area needs to be looked at again and again. There have been issues with visas and with people from overseas being able to come to this country to set up businesses and trade. A very important aspect of business is to ensure that young people are trained up and ready for the workplace. Many colleagues have spoken about engineering and the different abilities and skills needed. I am sure that many others in the Chamber will be monitoring and following up time and again over the months on these points. At this point I will mention one issue which I think was raised by the noble Baronesses, Lady Liddell and Lady Wheatcroft, and others. That is the need to make tourism a very important strand in the ability of this country to trade

I hope that when it comes to the enterprise Bill, these and many other issues will be addressed because, as I have said, the Bill will need to cover so many of them. One issue that the Government have announced that they will address is red tape. The often-trumpeted reductions in red tape must happen this time. Many say that this country is adept at rule-setting. Am I going too far in saying that Governments in the past have excelled when it comes to regulating and regulations? I do not think so. With my lifetime of experience in operating a small business, I can and will point out to Ministers how those self-employed people struggle so often against bureaucracy. I have some specific examples in my mind

There is much to address under the heading of finance. The difficulty for small businesses in getting finance and having money lent to them has been referred to already. We have had a debate on this area this year and I would appreciate a specific report back on late payments, which is a very big issue for industry and construction, for example. Specifically, a figure was quoted a while back of £39 billion being owed to SMEs because of overdue payments. Is this improving? The Government have written to FTSE companies to encourage those not signed up to the Prompt Payment Code to do so. I would be glad to learn whether that has succeeded and will be carried forward as a strong issue. I would be pleased to hear about the record of the Government and other Governments on local and national payment, by government and local councils, as well

As the Minister will know, we have welcomed the concept of the business bank. As somebody who has been in business for much of my life, the bank’s overall funding and financing will be important. But there is also the importance of having local ability to raise money, and people with the knowledge to understand the business needs of their areas and the people operating locally. That is a very important strand of the business bank. I have spoken before about local enterprise partnerships, which I hope can be engaged to bring localism back into the picture

There are many issues to be covered. Broadband was referred to again today. The previous Government made announcements about the appointment of various organisations when it comes to broadband, but I am told that in rural and other areas of the country our broadband is still just not necessarily up to the mark

There is much to do when it comes to business, which is crucial for jobs and our country’s future. I look forward with great pleasure to the Government coming forward with their business Bill and to trying my best, with many colleagues, to influence the many aspects of the business Bill we need for jobs and the future of this country."	0
gb13561	7956437572fe4b84ac665137c4384c23	M	My Lords, can it be true that a body created by statute, with no responsibility other than to protect heritage, should have deliberately decided to destroy its own physical archive relating to the conservation and management of historic parks and gardens, which it has itself done so much over more than 20 years to support? Does it not beggar belief that the National Lottery Heritage Fund, aware as it most certainly is of the fragility of digital archives, should have perpetrated such an act of vandalism? Can the Minister reassure us that this story is just a bad dream?	0
gb07491	8323aaa29cb0b4b6f0de5ddcc8b681c6	M	"My Lords, I am grateful for the further opportunity to touch on an interesting issue which we discussed in Committee. On Report, I have proposed a different amendment that tries to meet some of the considerations that were quite properly raised in Committee. This relates to where the method of procurement for a branded medicine or product to which the statutory scheme would apply would be through a tender process and there would be an expectation that the best available price would be obtained through that process. I completely accept that previously we were looking at possibly exempting tender processes generally. The Minister quite rightly said that sometimes the tender process is used not to secure the best price, but to secure supply or procure products which are not directly comparable and where price competition would not be expected to be available

I completely understand that, so this amendment says not that the Secretary of State under any circumstances is obliged to exempt a tender which has delivered a price outcome but that he may do so. Why do I think it is useful to do that? It is because there will sometimes be products where, for reasons of security of supply, it is important to undertake a tender process. At the moment, all companies in the statutory scheme or the voluntary scheme will have the implications of the PPRS pricing and rebate structure applying to them. As we have heard previously, the way that applies to individual products may be subject to price modulation depending upon how the company overall is affected by the scheme. It may therefore have a distorting effect on products that are offered through the tender. That is undesirable. We should want the tender process to be as transparent as possible and the price, supply and other considerations of the tender to be as self-contained as possible. That is perfectly possible to achieve if the Secretary of State has the discretion to exempt a tender process from the scheme

As the Minister told us in Committee, the Government intend that framework agreements agreed before the regulations come into force will be exempted in any case. This amendment would helpfully give the Secretary of State the ability to exempt specific tenders from the application of the scheme. I do not want to anticipate too much, but the Minister may respond that the Secretary of State has the power to do that. If he says that the Government will actively assess where we may use such discretion to make it clear that tenders should be conducted in that way, I would be content. My noble friend instanced von Willebrand factor, where there are very similar products which are not necessarily competing on price. There is a general problem with plasma protein therapies because the cost structure that applies to them does not reflect the cost structure over the life of a product as it is reflected in patented, branded medicines generally. There is a good case for looking at an exemption in relation to products which have that high level of fixed cost rather than applying the price control and rebate in the way that happens now. I hope my noble friend will be able to say positive things about how we can maintain competition in the tender process and recognise the cost structures of certain medicines, because there is likely to be the application of the same principles to those products whether or not the company has opted into the voluntary scheme. Therefore the Government should be more willing under the statutory scheme to apply exemptions to those companies which have not opted into the voluntary scheme. I beg to move."	1
gb22314	a82800a601d062dc2b2b22daf993718b	F	I know the hon. Gentleman is giving a speech about a popular view of the private finance initiative, but I wish to make him aware of the Atkinson Morley wing at St George’s Hospital, which is a brilliant neurological centre that cost £50 million through PFI. It was built in the late 1990s, and it has saved hundreds and thousands of people. It is a building, and an opportunity to have a service, that was not coming any other way. I give thanks for that PFI deal, and I give thanks for those people who have been saved by it.	0
gb02348	0fd577be5b307156600877e8636b1d20	M	"My Lords, it is a great privilege to follow three such powerful speeches. I cannot match the eloquence of the speech just now from the noble Lord, Lord Cashman, but I hope that it will be read by members of his party and indeed of all parties and none after this debate. It is a pleasure to speak in the presence of the noble and learned Lord, Lord Irvine of Lairg, since it is he, more than any other Minister in the Labour Government, who takes credit for the Human Rights Act. I am very glad that he is here

No law can save our human rights unless there is a culture of liberty that is deep-rooted and popular. Law is not a panacea. It has to enjoy public confidence and to be respected by Ministers in what they do as well as what they say. The Human Rights Act requires Ministers to state whether they believe a government Bill to be compatible with rights protected by the convention. It requires all three branches of government—Parliament and the Executive as well as the judiciary—to act compatibly with the convention rights. It preserves parliamentary sovereignty. Our courts may declare legislation to be incompatible with the convention, but may not strike it down. The Human Rights Act leaves it to the Executive and Parliament to choose whether and how to comply with a declaration of incompatibility, or to leave the claimant to seek redress in Strasbourg

The Act requires our courts to have regard to Strasbourg judgments, but not to be bound by them. Our Supreme Court has been robust in recent years in subjecting Strasbourg reasoning to critical scrutiny, and explaining where it begs to differ. A valuable dialogue now takes place, and the judgments of our courts are influential in Strasbourg

Today the main threats come from a Government of zealots. If they succeed in doing what they threaten to do, their legacy will be to have weakened the protection of human rights and undermined the culture of liberty. The newly elected Government, unrestrained by their former coalition partner, threaten to tear up the Human Rights Act and replace it with a weaker British Bill of Rights that may not be anchored in the convention. They also threaten to ignore judgments of the Strasbourg court with which they disagree, undermining the rule of law here and across Europe

The new Lord Chancellor and Justice Secretary, Michael Gove, is in charge of human rights policy. His predecessor, Chris Grayling, and the Home Secretary, Theresa May, are hostile to the Human Rights Act and to the Strasbourg court. So is Michael Gove’s junior Minister Dominic Raab, as he showed in replying to the Westminster Hall debate on Tuesday. On 23 June, Dominic Raab told the Commons that the Government’s, “plans do not involve us leaving the convention”, but he added that, “our No. 1 priority is to restore some balance to our human rights laws, so no option is off the table”.—[Official Report, Commons, 23/6/15; col. 748.]

On Tuesday, he again told the Commons the same thing. I ask the Minister to explain quite unequivocally whether leaving the convention is or is not on the table as a possibility

Were we to replace the Human Rights Act with something weaker and no longer anchored in the convention, that would be used by Europe’s pseudo-democracies in the former Soviet empire to justify flouting European human rights law. As the noble Lord, Lord Lexden, said in his powerful speech, it is dispiriting that a great political party that played an inspiring role under Churchill in creating the European convention system should be led by Europhobes who would weaken the effective protection of human rights by the European Court of Human Rights and even by our own courts

I say that the Government are zealots because they know that they are right and are not interested in genuinely open dialogue with those who disagree. When the Prime Minister decided not to rush to introduce a Bill while striving to renegotiate the UK’s membership of the EU, I wrote to Mr Gove welcoming the decision and asked him to meet to discuss the issues. I received no reply, not even a formal acknowledgement by his private office. Mr Gove has issued guidance to his civil servants on the importance of writing grammatically in their correspondence. Further guidance is needed from the Prime Minister on the need for good ministerial manners

Mr Gove told the Commons on 28 May that, because the Official Opposition and the SNP oppose the Government’s plans, they, “have already ruled themselves out of the debate on reform that we need to have”.—[Official Report, Commons, 28/5/15; col. 292.]

That no doubt includes Liberal Democrats, because we strongly oppose the manifesto threats. Then, on 23 June, Dominic Raab told the Commons that the Government intend to consult, “fully, including with the devolved Administrations, in due course”.—[Official Report, Commons, 23/6/15; col. 748.] I hope the Minister will explain in his reply how he squares that with Michael Gove’s statement. Can he tell us the discussion that Michael Gove had with the Justice Minister in the Scottish Government last week, and whether it included the Government’s human rights plans

I served as a member of the Commission on a Bill of Rights that reported in 2012. The Minister was a fellow commissioner. You had to be a masochist to serve on that commission. He wrote a separate paper with another Conservative commissioner, Jonathan Fisher QC, in which they attacked the Strasbourg court for what they regard as undue judicial activism and suggested that the cause of human rights would be better served by withdrawal from the convention so as to free it from the strictures of the court

Their approach was embodied in the Conservative election manifesto. Before those pledges were made, the Prime Minister removed Dominic Grieve as Attorney-General, who explained in the debate this week that the Human Rights Act has conferred, “huge benefits on this country”.—[Official Report, Commons, 30/6/15; col. 410WH.] The former Solicitor-General, Sir Edward Garnier, said in the same debate that, “the political reality is that there is no majority in this House”— that is, the other place— “and there certainly is not in”, the House of Lords, “for a repeal of the Human Rights Act—still less for our removal from the European convention”.—[Official Report, Commons, 30/6/15; col. 418WH.] Dominic Raab is concerned that what he calls “rights inflation” has diluted personal responsibility. The only example he gives is of a claim that failed, and he complains that the Human Rights Act has exposed us unnecessarily to too much “judicial legislation”, as he puts it, in Strasbourg and at home. These criticisms are not, in my view, fair or reasonable

This Government threaten not only our culture of liberty and respect for the European rule of law but the unity of the UK. However much the Government say they will consult the public, they are guilty of at least the appearance of prejudgment and a lack of interest in seeking a consensus on what are major constitutional issues. If the Government go ahead with their plan to tear up the Human Rights Act and flout judgments from Strasbourg with which they disagree, they will face deep hostility in Scotland, Northern Ireland and Wales and, I dare say, much of England, too. The public will not welcome a weakening of the legal protection of their fundamental rights, and the unity of the nations will be undermined

If Michael Gove was serious about a one-nation justice policy, he would not adopt the policy that he now seems to be pursuing. There is a crisis in what is a two-nation civil and criminal justice system. What use is the rhetoric of a UK Bill of Rights if only the wealthy and the powerful can enforce those rights in our courts?"	0
gb07180	15a65c8c3ca82d86a7c67a60b868eacd	F	Central to those political institutions has been the principle of power sharing, so what efforts will the Secretary of State and the British Government, working with the Irish Government, make to ensure that the principles of power sharing, mutual understanding and respect for political difference, which have withered away over the past number of months, will be strictly adhered to following these elections? What work with the Irish Government will take place within the next few weeks to do just that?	0
