id	speaker	sex	text	label
gb50067	cefc901b0cacd0d937b26a4a456dc601	M	On 3 July, the Secretary of State said that asymptomatic testing in residential care homes would give staff the confidence to continue their work. Yesterday, the Transport Secretary said that Public Health England now believes that asymptomatic testing might capture only 7% of those infected, leaving 93% of those infected to go about their business. If asymptomatic testing is as confidence-building as the Secretary of State says, and if a care home is a goose and an airport is a gander, why is the sauce of asymptomatic testing not good for both?	1
gb28521	0a440e1aa429a3a6931a8ca77313b175	F	"In his autumn statement, the Chancellor said: “We have shown in this Parliament that we can deliver spending reductions without damaging front-line public services if we are prepared to undertake reform.”—[Official Report, 3 December 2014; Vol. 589, c. 309.] Today, in two short phrases, he said that to achieve his £30 billion-worth of savings he would cut £13 billion from Government Departments and £12 billion in welfare savings: no more details and no discussion of the misery that this means for many of my most vulnerable constituents. His cuts to front-line services have damaged residents in Bolton West and will continue to do so. People used to say that when the tide rose it lifted all the boats, but this Government have proved that now it only lifts the yachts. Constituents in Bolton West will be £1,600 worse off at the end of this Parliament than they were at the start. On top of the £100 million cut in its budget, Bolton council now has to find a further £43 million in the next two years. Social care is harder to get, youth provision is down, roads are full of holes, and the voluntary sector is cut

The Chancellor talks about £12 billion savings in welfare. A consortium of northern housing providers, including Wigan and Leigh Housing and Bolton At Home, has undertaken a survey of the impact of welfare reform on their tenants since 2012. Its latest report makes frightening reading. Average debt has tripled in two years and now stands at £3,500. One in two households is regularly unable to meet its weekly debt repayments, which are averaging just under £35 a week—88% higher than at the start of the study just two years ago. People in 23.5% of households are unemployed—the highest level of unemployment since the start of the study—and fewer than one in five is in full-time work, while 69% of those in part-time work want more hours. After their bills are paid, they have just £2.53 left per day. After bills, more than six in 10 households have less than £10 for the week’s spending money. One in five households has used a food bank. Although £3.63 per person is the average spend on food, three out of 10 families have less than £2.86 per day to spend on their food. A total of 53.8% of people say that they cannot heat their homes to the level they need, and 44% have said that their health has deteriorated since the start of the study just two short years ago. Tell those people that we are all in it together; tell them that Britain is walking tall again; tell them that the plan is working. Britain needs a better plan. The Tories will never understand that Britain only succeeds when working families succeed

Young people have borne the brunt of many of this Government’s decisions, with tuition fees trebled, the education maintenance allowance abolished, Connexions got rid of—so they cannot now get the careers advice they need—and youth services about to become the first statutory public service to disappear altogether. The most vulnerable young people are being hit hardest, with 1,000 sanctioned every day. The YMCA has reported on many of the young people that it works with. Those who have been sanctioned say, for example: “I was unable to eat and it was lucky that the YMCA could help.” A young woman said: “It’s how long they left me with no money for food knowing I was pregnant and had to buy my own food.” Another young person said: “I went 3 months living on food parcels which is really degrading because you lose all your dignity. It’s not just physically hard, it’s mentally hard.” Sanctions are supposed to help young people into work, but one young person said: “My focus turned to survival rather than gaining employment.” Yesterday evening, Liam Preston from the YMCA told me of its serious concerns about the rise in poor mental health among young people, compounded by the cuts to child and adolescent mental health services and to youth services and other support services. Unless we look after the most vulnerable and make sure that ordinary families succeed, we will never succeed as a country

A couple of weeks ago, at an event to encourage people to vote, one young woman spoke very eloquently about her life. She said that when someone has to worry every day about putting food on the table, paying their bills and clothing their children, they cannot worry about voting. Another young woman from Foxes of the Fold women’s group in Johnson Fold told me that she now has permanent asthma, because paying the bedroom tax meant that she could not afford to put her heating on all winter. Those are real lives

This Government have targeted the weak and given tax breaks to the rich, and there have been tragic consequences, such as a rise in suicides. Let me tell hon. Members about one young woman whom I have known for many years; I used to be her youth worker. She has suffered from poor mental health ever since her terrible childhood, and she now lives in supported housing. She is waiting for an appointment at a pain clinic, which has been cancelled four times, and for a procedure to stop her pain, which has been cancelled twice. She was told that, owing to the cuts, her housing project would close. Unsurprisingly, she is now in hospital—she is very poorly—having tried to die. She is a victim of the cuts and of this Government’s policies. It need not be this way

I presented apprenticeship awards at Forrest construction company in my constituency last week. The chief executive officer told me his story: from apprentice to CEO and from poverty to millionaire in 25 years. He recognises the need to put something back into the community, having benefited from careers advice and from people taking a chance on him. His company puts £1 million a year into the communities where it works. He believes that resources, play spaces, facilities and voluntary organisations make a difference to people. He says that if people’s horizons are raised, their lives will improve

This Government offer not support but simply more cuts. Zero-hours contracts and food banks are not a legacy to be proud of. They do not understand the lives of working families, and they do not have the answers. Britain truly can do better than this, and under Labour it will."	1
gb31967	066372f7e2cfcca4c086d7e368cf93f1	F	"I totally agree. I also back the attempt by the right hon. Member for Birkenhead (Frank Field) to get free school meals for everybody receiving the pupil premium. That is a very good point; I am thinking particularly of a healthy breakfast with porridge, not necessarily sugar-laden cereals

Not only does Pompey in the Community provide a lot of the physical education curriculum in local schools, but it runs a number of out-of-school and holiday clubs. There are plenty of sports clubs in Portsmouth. I would like to see a lot more outreach from sports clubs to children from low-income families. The Portsmouth Sail Training Trust does this with sailing, focusing solely on children from low-income backgrounds. More sports clubs need to get out and do this, too. Perhaps we could use the sugar tax to help to fund some of those sports activities. I would also like to see more sport in the curriculum, with the possibility of at least one hour of activity every day. We heard about a school doing one mile a day. Every school should be doing that. I would like the Department for Education and the Department of Health to lead on more sport in school, perhaps with extended days to fit it in

Often the simplest changes are the most effective. By encouraging our children to walk to school, and by continuing to develop nutritional education, I am sure we will see more positive results. Members on both sides of the House talk a lot about tackling deprivation in our communities. It is crystal clear that the House must now turn its energy towards fighting the terrible problem of obesity, through education and providing more opportunities for an active lifestyle."	0
gb48908	e4334924ee851e39dcce8f95f080a74d	M	"I begin by thanking the Business Secretary and the Under-Secretary of State for Business, Energy and Industrial Strategy, the hon. Member for Sutton and Cheam (Paul Scully), for the constructive conversations that we have had about the Bill, including with the shadow Business Minister, my hon. Friend the Member for Manchester Central (Lucy Powell). We are very much approaching this in a constructive way, and we welcome the discussions

I want to focus on the provisions in the Bill and the wider policy context around insolvencies, which will determine what happens to millions of businesses in our country. As the Secretary of State implied, we face potentially the most dramatic recession in 300 years. What is more, we know that it is a recession necessitated by the essential public health measures that have been taken to contain coronavirus. Just as we are mutually dependent on each other when it comes to controlling the pandemic, I believe there is agreement across the House that that sense of mutual dependence should extend to the businesses of our country, because it is the right thing to do and because it is in all our interests. Every viable business we save will make the recession less deep and the recovery easier. Every business lost is disastrous not only for that business and its workers, but for our economy and all of us

We know the great distress that many businesses are facing, and I join the Secretary of State in paying tribute to businesses up and down this country that are keeping going in these circumstances, with one fifth temporarily pausing or ceasing trading during lockdown and another quarter saying that their turnover was down by at least 50%. That is the context in which we should test our approach as a country. I acknowledge that this challenge is bound to test the imagination, speed and responsiveness of any Government, and that is why we want to work constructively with them

In that context, we welcome the measures in the Bill to help reduce insolvencies and will support their passage. As I will explain, we do not think the Bill does enough to address the dangers for what we might call the less powerful interests—particularly employees—when it comes to insolvency and the new restructuring provision, and I will explain what I mean by that

Let me say something about the headline provisions, many of which we agree with. As regards the permanent measures, we support the moratorium to give breathing space to firms. We welcome the measures to prevent suppliers from sending businesses into liquidation, suspending so-called ipso facto provisions, and I will say something in a minute about our views on the new restructuring plan provision.


I certainly agree with the hon. Gentleman that it is very important that the approach is UK-wide, and I welcome that. Let me say something about the temporary measures in the Bill. We think it makes sense to remove the threat around winding-up orders, for example, to deal with the issue around landlords. We welcome the measures that the Secretary of State put in place, but there is another way around, as it were, which is a landlord issuing a statutory demand followed by a winding-up order. We think that the suspension of personal liability for wrongful trading while insolvent makes sense as a measure, but for a strictly time-limited period. It is important, as I think is clear, that other duties continue to apply to directors

In addition, easing the requirements on company filing deadlines and AGMs makes sense. Indeed, given proceedings yesterday in this House, the facility in the Bill for virtual proceedings at AGMs carries a certain irony. If only the Business Secretary had told the Leader of the House, perhaps we would have been spared a lot of trouble and a lot of queuing yesterday

As the hon. Members for Dudley South (Mike Wood) and for North Antrim (Ian Paisley) have both said, there is clearly a case for a longer period than to 30 June. This is no disrespect to the people writing the Bill, but I think we can agree across the House that the temporary measures will need to be in place for longer. We would be happy to see an amendment that puts the end of September in the Bill, and one of our amendments would do that. I accept the Secretary of State’s point that the change can be made by statutory instrument

Having given the Bill a broad welcome, I want to raise some issues."	1
gb57524	1326e57c35d6292e6ae6f917e3a2bce9	M	"My Lords, I thank the Minister for his very full and considered response and all noble Lords for their contributions. The strength of feeling is strong and again I make the point that these clauses are overly punitive towards women and victims of gender-based violence. I fear that that concern was not answered in the very full answer we were given. In particular, I still do not think that the responses given take any awareness of the trauma of so many of the women who come forward. I fear that to talk about “sufficiently detailed interviews”, as the Minister did at one point, would raise hackles on that front

I have no doubt that my right reverend friend the Bishop of Gloucester will read Hansard very carefully and may well write off the back of that. I thank the Minister for making the promise to the noble Baroness, Lady Lister—I was about to ask him to, but he got in there before us. It is rather regrettable that we have not been able to persuade the Government on these points, and the Bill will not now adequately protect those who are subject to gender-based violence. That is the deep concern. That said, with deep regret, I will withdraw the amendment."	1
gb45213	52323d87a734897b4d8fe54d84144872	F	"rose—


I must confess that I share some of my hon. Friend’s mixed feelings about this issue, particularly as there is a disparity between what my constituents say to me and what the Minister says to me. Where there does seem to be culpability from HMRC from my perspective is that it knew full well about some of these loan schemes for a very long time and subsequently a political decision was made to call them in, and that political decision could have been taken much earlier so that we would not have seen some of this damage. That creates a lot of uncertainty within the wider tax system, which is very corrosive."	0
gb27038	a08849793e92a1fb10500b1b6271185f	M	"My Lords, whatever view we take in this debate, one word concentrates all our minds: capacity. The House will no doubt remember the fire at Didcot power station last October, which resulted in its partial closure. This, added to the planned closure of two more power stations and the decommissioning of others, was a wake-up call

Last November, the Royal Academy of Engineering published the findings of an investigation into the capacity margin of GB’s electricity system. The investigation was commissioned by the Prime Minister’s Council for Science and Technology. The report warned that, in the absence of intervention, the capacity margin, “would present an increasing risk to security of supply”

The nation’s transport capacity—road, rail and air—is rehearsed daily in our media. Indeed, we consider it regularly in this Chamber. It cannot be ignored much longer. Investment is not something you do tomorrow; its implementation has to be decided on today. The lack of investment throughout our infrastructure leads to misery for many, destitution for some, and a massive cost to both the local and the national economy

Throughout my industrial and political career, save for the National Economic Development Council, I can recall no overarching body charged with the responsibility for planning or co-ordinating the national infrastructure needs of the nation. It is now, I believe, an idea whose time has come. Last autumn, an article by Dan Lewis, senior adviser on infrastructure policy at the Institute of Directors, summed up the malaise of the nation, saying that until now the UK had somehow “muddled through”. He predicted that this was about to change and that over the next 15 years Britain would face a rolling series of major infrastructure shocks. Coming from the IoD, it was indeed a wake-up call

I am pleased to say that the wake-up call is being heard loud and clear in this Chamber and in this debate. The Armitt report, which has been discussed, was published last September. It called on the Government to hand over responsibility for identifying the UK’s long-term infrastructure needs to an independent panel, which would monitor, plan and report. We need that debate because we have to reach a consensus. At least we have to convince those from whom we seek investment. The call that I hear today is no different from what the Armitt report said. It called for a cross-party political consensus to encourage investment in long-term transport, energy, telecommunications and flood defences. I have heard the call, and I hope that the Government are also listening."	1
gb44945	168fab09b97a6fc9c5c79fbe9ba8bd1b	M	"I congratulate my hon. Friend on securing this important debate. As well as children, other people in vulnerable situations are being missed in this system. My constituent fled domestic violence elsewhere in the UK, and she found herself being turned away from several shelters. It was only through the diligence of my caseworker that a local charity, Ubuntu, found somewhere for that young woman to go

Does my hon. Friend agree that a wide range of people could be affected by this lack of recourse to public funds?"	1
gb39169	241384154134da779199f550f58c2e15	M	"My Lords, I begin by thanking my noble friend Lady Nicholson for her excellent introduction to this debate and for bringing this strategy before your Lordships’ House. She proved very well her own impregnable argument as to why this strategy is right for Britain at this point. It is helpful that this debate follows a recent one introduced by the noble Earl, Lord Sandwich, on the implications of Brexit for aid. Personally, I am very pleased that DfID is now putting a proper focus on how the UK can ensure that sustainable economic development is supported by the UK in less developed countries

I take great pride in this country’s commitment to our 0.7% of GDP being spent on international aid. We have witnessed time and time again how the UK, working with NGOs, makes such a humanitarian difference to so many parts of the world. This humanitarian and reactive responsibility must, however, always lie at the heart of what the department does. With the greatest migration levels since the Second World War—and, outside the context of war, since late antiquity—coupled with natural disasters that we see worsened by climate change, that basic utility and purpose of DfID must not be forgotten. However, it is clear that the UK’s commitment, financially and in human resource, to international aid and scrutiny of the department mean that expectations of DfID and the difference it is making in the world can only increase. The department is therefore required to create economic sustainability and growth through this new strategy. The huge growth and urbanisation of the population in sub-Saharan Africa, for example, can be sustained only through full economic growth. Clearly these new supercities that we are seeing across the world will not be self-sustainable in food and utilities without a strong market economy based on development, supported by this country. By 2030, 70% of the world’s population will live in an urban environment. That requires major infrastructural support for these countries

I would like to cover a few fundamental themes on how the economic strategy is enacted. First, it is essential that the current ethical nature and humanitarian ethos of DfID underpins this strategy and is closely monitored to ensure that we do not lose our way. This strategy must not be a means for the UK to create an aid-for-trade basis with the less developed countries of the world. I am pleased to see in the strategy the commitment to continue placing a special focus on women and girls. That is exactly the kind of ethical basis this strategy needs

It would be easy for us to slip to the lowest common denominator and to an easier economic strategy in many of these less developed countries. That would undermine the work of DfID and lead to even more critical analysis from our friends in the press and those in this country who do not always get too excited about our 0.7% commitment. As we have seen recently with the criticism of the CDC—as my noble friend Lady Jenkin said, it has found its way in again—it is important that this strategy is transparent as we move forward, and that there is not an opportunity for criticism of equity or investment strategies

Secondly, we cannot doubt that this is an opportunity for our country, post Brexit, to negotiate new trade deals and to ensure that we put in place ethical trade deals that encourage economic development across the world. The most obvious example is coffee from Ethiopia. The EU does not currently allow that coffee to be properly processed in its country of origin, leading to the devaluing of what should be an economically strong export for Ethiopia

We also need to make sure that this economic strategy is flexible and subject to regular review. The noble Lord, Lord Desai, mentioned refugees. There will be times when refugees enter countries that would not normally be included under OECD rules as countries that could benefit from international aid from us; we must ensure that there is economic stability for those refugees when they arrive. There are more than 1 million refugees in Lebanon and Jordan at the moment, so unless we provide proper support for economic development and employment opportunities for them, we will create a situation of political instability that will lead only to further resource needing to be invested in the future

That leads me to my next concern. We cannot see immediate humanitarian aid, economic development and support through the Foreign Office for political stabilisation as three separate things in three different silos. As my noble friend Lady Nicholson said, Iraq is a good example of where, despite enormous investment after 2003, a lack of investment in political reconciliation after that year has led to a point where the Iraqi people have not been able properly to benefit from the enormous pump-priming after 2003. I have absolute confidence in my noble friend and his colleagues, but it will be incumbent on them to ensure that this excellent economic strategy is not allowed to become a department within a department, or indeed be cut off from co-operation with the department’s more traditional programme of humanitarian aid or from co-operation with the Foreign Office

Finally, I emphasise that as long as we avoid the dangerous pitfalls I have outlined, I see this economic strategy as an opportunity to benefit not only the United Kingdom but also those less developed nations."	0
gb27594	3347a32e3184cc56f2f0229e403e566a	M	"My Lords, there are several elements of holding people to account. I think the shareholders need to hold them to account. If there has been any criminal wrongdoing it is obviously for the police and prosecuting authorities in the relevant jurisdictions to pursue those matters.


No, I do not. As for the first part of the noble Lord’s question, the agreement with Switzerland, which he seems to deride, has generated £1.2 billion for the Exchequer. That is £1.2 billion more than was being generated under the previous Administration."	0
